AddressLine,StateCode,City,Zipcode,PropertyPrice,BedRooms,BathRooms,Property_Sqft,School_rating,Garage,YearBuilt,TimeOnRedfin,PropertyType,PropertyStyle,PropertyCommunity,TimeOnRedfin_Days
325 China Basin St #515,CA,San-Francisco,94158,1395000.0,2.0,2.0,1295.0,5,Yes,2008,10 days,Condo,Contemporary,San Francisco,10.0
514 Wisconsin St,CA,San-Francisco,94107,929000.0,2.0,2.0,1050.0,5,Yes,1978,11 days,Condo,Contemporary,San Francisco,11.0
655 Goettingen St,CA,San-Francisco,94134,1349000.0,4.0,2.0,2079.0,6,No,1924,29 days,Single Family Residential,Contemporary,San Francisco,29.0
1100 Sacramento St #402,CA,San-Francisco,94108,4750000.0,3.0,3.5,2426.0,9,Yes,1925,28 days,Condo (Tenancy in Common),Traditional,San Francisco,28.0
1477 7th Ave,CA,San-Francisco,94122,3000000.0,6.0,4.0,4346.0,9,Yes,1964,2 days,Multi-Family (5+ Unit),Contemporary,San Francisco,2.0
1913 Eddy St #612,CA,San-Francisco,94115,1095000.0,3.0,2.0,1243.0,8,Yes,1983,4 days,Condo,Victorian,San Francisco,4.0
953 Dwight St,CA,San-Francisco,94134,799000.0,5.0,3.0,2370.0,6,Yes,1957,5 days,Single Family Residential,Contemporary,San Francisco,5.0
1123 Palou Ave,CA,San-Francisco,94124,899000.0,5.0,2.5,2100.0,6,Yes,1941,5 days,Single Family Residential,Contemporary,San Francisco,5.0
1150 Folsom St #2,CA,San-Francisco,94103,799000.0,1.0,1.5,1200.0,5,Yes,2000,6 days,Condo,Modern/High Tech,San Francisco,6.0
14 Ardenwood Way,CA,San-Francisco,94132,1995000.0,3.0,4.0,2785.0,7,Yes,1933,11 days,Single Family Residential,"Mediterranean, Spanish, Traditional",San Francisco,11.0
1215 Kirkham St,CA,San-Francisco,94122,1050000.0,2.0,1.0,1161.0,8,Yes,1979,7 days,Condo,Contemporary,San Francisco,7.0
2100 Green St #800,CA,San-Francisco,94123,5495000.0,2.0,2.5,3122.0,7,Yes,1928,13 days,Condo (Co-op),Traditional,San Francisco,13.0
1527 Underwood Ave,CA,San-Francisco,94124,975000.0,5.0,3.0,2038.0,6,Yes,1937,11 days,Single Family Residential,Contemporary,San Francisco,11.0
814 - 818 Divisadero St,CA,San-Francisco,94117,2395000.0,9.0,6.0,6359.0,8,No,1900,25 hours,Multi-Family (2-4 Unit),Contemporary,San Francisco,1.0416666666666667
1750 Taylor St #1401,CA,San-Francisco,94133,11500000.0,2.0,2.5,3640.0,9,Yes,1961,8 days,Condo (Co-op),"Contemporary, Modern/High Tech",San Francisco,8.0
154 Lombard St #53,CA,San-Francisco,94111,1149000.0,2.0,2.5,1274.0,6,No,1975,20 hours,Condo,Contemporary,San Francisco,0.8333333333333334
2211 Leavenworth St,CA,San-Francisco,94133,2600000.0,3.0,2.5,1750.0,9,Yes,1938,4 days,Condo,Contemporary,San Francisco,4.0
3921 - 3925 19th St,CA,San-Francisco,94114,1299000.0,4.0,3.0,1918.0,7,No,1911,6 days,Multi-Family (2-4 Unit),Contemporary,San Francisco,6.0
2287 47th Ave,CA,San-Francisco,94116,1300000.0,2.0,1.0,1025.0,9,Yes,1951,10 days,Single Family Residential,Contemporary,SUNSET,10.0
1607 - 1609 27th Ave,CA,San-Francisco,94122,1990000.0,4.0,2.0,2572.0,9,Yes,1953,4 days,Multi-Family (2-4 Unit),Contemporary,San Francisco,4.0
600 Prentiss St,CA,San-Francisco,94110,998888.0,2.0,2.0,930.0,6,Yes,1951,9 days,Single Family Residential,Contemporary,San Francisco,9.0
2218 15th St,CA,San-Francisco,94114,1725000.0,2.0,2.0,1622.0,7,Yes,1932,4 days,Condo,Contemporary,San Francisco,4.0
2637 Buchanan St,CA,San-Francisco,94115,3995000.0,5.0,3.5,4005.0,7,Yes,1905,1 day,Condo,Victorian,San Francisco,1.0
1835 Franklin St #703,CA,San-Francisco,94109,1349000.0,2.0,2.0,1492.0,7,Yes,1965,12 days,Condo,Contemporary,PACIFIC HEIGHTS,12.0
555 Fulton St #435,CA,San-Francisco,94102,750000.0,1.0,1.0,714.0,5,No,2020,4 days,Condo,Contemporary,SAN FRANCISCO,4.0
74 New Montgomery St #317,CA,San-Francisco,94105,361677.0,2.0,2.0,1089.0,5,No,1914,4 days,Condo,Contemporary,San Francisco,4.0
757 North Point St #2,CA,San-Francisco,94109,1465000.0,2.0,2.0,1519.0,9,Yes,1989,3 days,Condo,Contemporary,Russian Hill,3.0
25 Appleton Ave,CA,San-Francisco,94110,1500000.0,4.0,3.0,1949.0,7,Yes,1904,3 days,Duplex,Contemporary,SAN FRANCISCO,3.0
1565 Palou Ave,CA,San-Francisco,94124,799000.0,3.0,2.0,1386.0,6,Yes,1965,12 days,Single Family Residential,Contemporary,San Francisco,12.0
675 10th Ave #675,CA,San-Francisco,94118,1343249.0,3.0,2.0,2245.0,9,Yes,1923,4 days,Condo (Tenancy in Common),Craftsman,San Francisco,4.0
280 Spear St Unit 1F,CA,San-Francisco,94105,899000.0,2.0,1.0,823.0,5,No,2022,5 days,Condo,Modern/High Tech,San Francisco,5.0
1050 N North Point St #206,CA,San-Francisco,94109,675000.0,1.0,1.0,676.0,9,No,1963,11 days,Condo,Contemporary,Russian Hill,11.0
181 Fremont St Unit 55C,CA,San-Francisco,94105,2995000.0,2.0,2.5,1605.0,5,No,2018,11 days,Condo,"Contemporary, Modern/High Tech",San Francisco,11.0
345 Ewing Ter,CA,San-Francisco,94118,2995000.0,4.0,3.0,2606.0,8,Yes,1941,11 days,Single Family Home,Contemporary,SAN FRANCISCO,11.0
2001 Mcallister St #120,CA,San-Francisco,94118,700000.0,1.0,1.0,680.0,8,Yes,2002,11 days,Condo,Contemporary,San Francisco,11.0
1020 Union St #7,CA,San-Francisco,94133,2395000.0,2.0,2.0,2160.0,9,Yes,1921,27 hours,Condo (Co-op),"Mediterranean, Spanish",San Francisco,1.125
68 Patton St,CA,San-Francisco,94110,715000.0,2.0,1.0,730.0,7,No,1908,4 days,Condo,"Bungalow, Marina, Traditional",San Francisco,4.0
620 Clarendon Ave,CA,San-Francisco,94131,1329000.0,3.0,2.5,1763.0,9,Yes,1977,11 days,Townhouse,Contemporary,San Francisco,11.0
2300 Leavenworth St,CA,San-Francisco,94133,3495000.0,4.0,2.0,2115.0,9,Yes,1913,29 days,Single Family Residential,Edwardian,San Francisco,29.0
1158 Sutter St #8,CA,San-Francisco,94109,779000.0,2.0,2.0,810.0,6,No,2008,12 days,Condo,Contemporary,San Francisco,12.0
193 Bright St,CA,San-Francisco,94132,1199999.0,6.0,4.0,2806.0,9,Yes,1965,14 days,Duplex,Traditional,SAN FRANCISCO,14.0
2601 Lyon St,CA,San-Francisco,94123,6500000.0,4.0,3.5,4554.0,8,Yes,1923,4 days,Single Family Residential,"Mediterranean, See Remarks",San Francisco,4.0
708 Hayes St,CA,San-Francisco,94102,795000.0,3.0,2.0,1332.0,5,No,1900,11 days,Condo (Tenancy in Common),Contemporary,San Francisco,11.0
1487 Mcallister St,CA,San-Francisco,94115,2250000.0,3.0,2.0,2292.0,8,No,1890,5 days,Condo,Contemporary,SAN FRANCISCO,5.0
10 Innes Ct #208,CA,San-Francisco,94124,650000.0,1.0,1.0,736.0,6,Yes,2018,16 hours,Condo,Contemporary,Hunters Point,0.6666666666666666
2226 Beach St,CA,San-Francisco,94123,1050000.0,1.0,1.0,841.0,6,Yes,1950,4 days,Condo,Contemporary,San Francisco,4.0
719 29th Ave,CA,San-Francisco,94121,1095000.0,3.0,1.0,1204.0,7,Yes,1924,3 days,Single Family Residential,Traditional,San Francisco,3.0
738 Fell St,CA,San-Francisco,94117,1598000.0,3.0,2.5,1785.0,5,Yes,1890,11 days,Condo,Victorian,San Francisco,11.0
526 Arlington St,CA,San-Francisco,94131,1295000.0,4.0,2.0,1445.0,7,No,1987,4 days,Single Family Residential,Contemporary,San Francisco,4.0
280 Spear St Unit 31C,CA,San-Francisco,94105,1995000.0,2.0,2.0,1270.0,5,No,2020,12 days,Condo,Modern/High Tech,San Francisco,12.0
335 Berry St #108,CA,San-Francisco,94158,527536.0,2.0,2.0,992.0,5,No,2009,11 days,Condo,Contemporary,San Francisco,11.0
1396 Geneva Ave,CA,San-Francisco,94112,899000.0,2.0,1.0,1154.0,7,Yes,1915,14 days,Single Family Residential,Craftsman,San Francisco,14.0
181 Ofarrell St #513,CA,San-Francisco,94102,1950000.0,3.0,2.0,2516.0,6,No,2006,34 hours,Condo,Contemporary,San Francisco,1.4166666666666667
160 Graystone Ter #8,CA,San-Francisco,94114,950000.0,1.0,1.0,766.0,9,No,1951,10 days,Condo (Tenancy in Common),Contemporary,San Francisco,10.0
1 Steuart Ln #1706,CA,San-Francisco,94105,8650000.0,3.0,3.0,2351.0,5,Yes,2021,4 days,Condo,"Contemporary, Modern/High Tech",San Francisco,4.0
1650 48th Ave,CA,San-Francisco,94122,1799000.0,3.0,2.0,2004.0,8,Yes,1948,4 days,Single Family Residential,Contemporary,San Francisco,4.0
224 Lexington St,CA,San-Francisco,94110,1079000.0,2.0,1.0,1100.0,7,No,1906,4 days,Condo,Victorian,San Francisco,4.0
996 Union St,CA,San-Francisco,94133,1420000.0,2.0,2.0,1349.0,9,No,1907,2 days,Condo,Contemporary,San Francisco,2.0
42 - 50 Allen St,CA,San-Francisco,94109,1998000.0,7.0,4.0,3560.0,9,Yes,1910,34 hours,Multi-Family (2-4 Unit),Contemporary,San Francisco,1.4166666666666667
2830 22nd St #3,CA,San-Francisco,94110,995000.0,2.0,1.5,1090.0,4,Yes,1900,5 days,Condo (Tenancy in Common),Contemporary,San Francisco,5.0
900 Bush St #521,CA,San-Francisco,94109,898000.0,2.0,2.0,1003.0,6,No,1982,11 days,Condo,Contemporary,San Francisco,11.0
1861 Mcallister St,CA,San-Francisco,94115,1795000.0,3.0,2.5,1680.0,8,Yes,1925,4 days,Condo,"Edwardian, Marina, Mediterranean",San Francisco,4.0
550 Valley St,CA,San-Francisco,94131,2895000.0,4.0,3.0,2261.0,9,No,1931,4 days,Single Family Residential,"Contemporary, Mediterranean",San Francisco,4.0
474 27th Ave,CA,San-Francisco,94121,3400000.0,4.0,6.0,4896.0,8,Yes,1964,13 days,5+ Units,Contemporary,SAN FRANCISCO,13.0
1001 Pine St #310,CA,San-Francisco,94109,599000.0,1.0,1.0,616.0,6,Yes,1963,5 days,Condo,Contemporary,San Francisco,5.0
145 Hampshire St Unit B,CA,San-Francisco,94103,2299000.0,4.0,3.0,3083.0,7,Yes,2001,12 days,Condo,Contemporary,San Francisco,12.0
642 Mangels Ave,CA,San-Francisco,94127,1595000.0,3.0,2.0,1670.0,6,Yes,1927,2 days,Single Family Residential,Contemporary,San Francisco,2.0
765 Market St Unit 33H,CA,San-Francisco,94103,1850000.0,2.0,2.5,1510.0,5,No,2001,3 days,Condo,Contemporary,San Francisco,3.0
64 El Sereno Ct,CA,San-Francisco,94127,1195000.0,3.0,1.0,1325.0,9,Yes,1927,3 days,Single Family Residential,"Mediterranean, Spanish",San Francisco,3.0
51 Innes Ct,CA,San-Francisco,94124,1290000.0,5.0,2.0,1600.0,6,No,2017,10 days,Condo,Contemporary,San Francisco,10.0
3701 Divisadero St #203,CA,San-Francisco,94123,1049000.0,1.0,1.0,901.0,6,Yes,1992,4 days,Condo,Contemporary,San Francisco,4.0
219 Brannan St Unit 8B,CA,San-Francisco,94107,699000.0,1.0,1.0,735.0,5,Yes,2000,12 days,Condo,Contemporary,SAN FRANCISCO,12.0
404 Ashbury St #1,CA,San-Francisco,94117,549000.0,1.0,1.0,669.0,8,No,1900,11 days,Condo (Tenancy in Common),Contemporary,San Francisco,11.0
172 Los Palmos Dr,CA,San-Francisco,94127,899000.0,4.0,1.0,1470.0,9,Yes,1955,6 days,Single Family Residential,Contemporary,San Francisco,6.0
449 39th Ave,CA,San-Francisco,94121,1695000.0,4.0,2.5,1840.0,8,No,1916,13 days,Single Family Residential,Craftsman,San Francisco,13.0
1233 Howard St #716,CA,San-Francisco,94103,1799000.0,2.0,2.5,2980.0,5,No,2000,4 days,Condo,Contemporary,San Francisco,4.0
301 Mission St Unit 50A,CA,San-Francisco,94105,3850000.0,2.0,3.0,2706.0,5,No,2009,13 days,Condo,Contemporary,San Francisco,13.0
339 Sweeny St,CA,San-Francisco,94134,1200000.0,2.0,1.0,1248.0,6,Yes,1940,7 days,Single Family Residence,Contemporary,699 - Not Defined,7.0
36 Prado St,CA,San-Francisco,94123,2249000.0,3.0,2.0,2252.0,7,Yes,1936,5 days,Single Family Residential,Traditional,San Francisco,5.0
1444 Vallejo St #2,CA,San-Francisco,94109,1195000.0,2.0,2.0,1133.0,9,No,1925,7 days,Condo (Tenancy in Common),"Contemporary, Edwardian, Flat",San Francisco,7.0
22 Allison St,CA,San-Francisco,94112,899000.0,2.0,1.5,1534.0,7,Yes,1941,12 days,Single Family Residential,Vintage,San Francisco,12.0
926 - 928 Diamond St,CA,San-Francisco,94114,3895000.0,5.0,4.0,3872.0,9,Yes,1900,4 days,Multi-Family (2-4 Unit),"Contemporary, Modern/High Tech, Traditional",San Francisco,4.0
70 Ellsworth St,CA,San-Francisco,94110,1595000.0,2.0,1.5,1480.0,7,Yes,1914,4 days,Single Family Residential,Contemporary,San Francisco,4.0
58 Varennes St Unit B,CA,San-Francisco,94133,699000.0,2.0,1.0,580.0,8,No,1906,10 days,Condo,Contemporary,San Francisco,10.0
3253 Harrison St,CA,San-Francisco,94110,1449000.0,3.0,1.0,1400.0,3,No,1908,5 days,Condo,Contemporary,San Francisco,5.0
424 Tocoloma Ave,CA,San-Francisco,94134,999900.0,4.0,1.0,1050.0,6,No,1939,29 days,Single Family Home,Contemporary,SAN FRANCISCO,29.0
675 - 677 10th Ave #677,CA,San-Francisco,94118,1455187.0,3.0,2.0,2130.0,9,Yes,1923,4 days,Condo (Tenancy in Common),Craftsman,San Francisco,4.0
822 45th Ave,CA,San-Francisco,94121,1898000.0,4.0,2.0,2033.0,8,No,1924,28 days,Single Family Residential,Contemporary,San Francisco,28.0
Undisclosed Address,CA,San-Francisco,94110,2500000.0,1.0,1.0,3830.0,7,No,1988,7 days,Condo,Contemporary,San Francisco,7.0
88 King St #318,CA,San-Francisco,94107,1188000.0,2.0,2.0,1116.0,5,Yes,2000,11 days,Condo,Modern/High Tech,San Francisco,11.0
18 - 20 Chenery St,CA,San-Francisco,94131,2149000.0,5.0,3.0,2730.0,9,Yes,1908,8 days,Multi-Family (2-4 Unit),Edwardian,San Francisco,8.0
2990 - 2992 California St,CA,San-Francisco,94115,1995000.0,4.0,2.0,3815.0,8,Yes,1907,3 days,Single Family Residential,Contemporary,San Francisco,3.0
1200 California St Unit 11A,CA,San-Francisco,94109,1399000.0,2.0,1.5,1450.0,6,Yes,1964,34 hours,Condo (Co-op),Mid-Century,San Francisco,1.4166666666666667
3114 Clay St #5,CA,San-Francisco,94115,929000.0,2.0,1.0,867.0,8,No,1907,2 days,Condo (Tenancy in Common),Contemporary,San Francisco,2.0
2800 Pacific Ave,CA,San-Francisco,94115,14995000.0,5.0,5.0,8179.0,6,Yes,1908,10 days,Single Family Residential,"Georgian, Traditional",San Francisco,10.0
60 Elgin Park Park,CA,San-Francisco,94103,1295000.0,2.0,2.0,1363.0,3,Yes,1907,4 days,Condo,Edwardian,San Francisco,4.0
542 Plymouth Ave,CA,San-Francisco,94112,998000.0,3.0,2.0,1370.0,5,Yes,1928,4 days,Single Family Residential,Contemporary,San Francisco,4.0
110 Channel St #306,CA,San-Francisco,94158,1495000.0,2.0,2.0,1071.0,5,No,2017,5 days,Condo,Contemporary,San Francisco,5.0
451 Kansas St #398,CA,San-Francisco,94107,1089000.0,2.0,2.0,1000.0,5,Yes,2007,10 days,Condo,Contemporary,San Francisco,10.0
1925 23rd St,CA,San-Francisco,94107,1595000.0,3.0,2.0,1530.0,7,No,1911,5 days,Single Family Residential,Contemporary,San Francisco,5.0
1534 - 1536 Alabama St,CA,San-Francisco,94110,1425000.0,4.0,2.0,2200.0,4,Yes,1925,12 days,Multi-Family (2-4 Unit),Contemporary,San Francisco,12.0
1318 Page St,CA,San-Francisco,94117,4185000.0,4.0,4.5,3345.0,8,Yes,2003,3 days,Single Family Residential,"Modern/High Tech, Victorian",San Francisco,3.0
15 Rico Way #3,CA,San-Francisco,94123,1298888.0,2.0,1.0,1045.0,7,Yes,1929,28 days,Condo (Tenancy in Common),Mediterranean,SAN FRANCISCO,28.0
181 Summit Way,CA,San-Francisco,94132,1399000.0,3.0,2.5,2133.0,6,Yes,2016,7 days,Townhouse,Contemporary,San Francisco,7.0
2338 California St,CA,San-Francisco,94115,4545000.0,4.0,3.5,3090.0,8,Yes,1875,11 days,Single Family Residential,Victorian,San Francisco,11.0
601 Alabama St #309,CA,San-Francisco,94110,1269800.0,3.0,2.0,1430.0,7,No,2009,7 days,Condo,Contemporary,San Francisco,7.0
708 Long Bridge St #508,CA,San-Francisco,94158,1550000.0,2.0,2.0,1192.0,5,Yes,2016,21 hours,Condo,Contemporary,SAN FRANCISCO,0.875
200 Brannan St #121,CA,San-Francisco,94107,925000.0,1.0,1.0,882.0,5,Yes,2004,8 days,Condo,Modern/High Tech,SOUTH BEACH,8.0
1515 15th St #503,CA,San-Francisco,94103,699000.0,1.0,1.0,650.0,7,Yes,2014,11 days,Condo,"Contemporary, Luxury, Modern/High Tech",SAN FRANCISCO,11.0
858 Ashbury,CA,San-Francisco,94117,3250000.0,6.0,6.0,5218.0,8,Yes,1910,7 days,Fourplex,Edwardian,SAN FRANCISCO,7.0
1501 Filbert St Ph 7F,CA,San-Francisco,94123,2995000.0,2.0,2.5,1634.0,7,Yes,2014,10 days,Condo,Contemporary,San Francisco,10.0
320 30th Ave,CA,San-Francisco,94121,1898000.0,3.0,3.5,1771.0,8,Yes,2023,13 days,Condo,Contemporary,OUTER RICHMOND,13.0
989 - 991 Duncan St,CA,San-Francisco,94131,2195000.0,4.0,4.0,2660.0,9,Yes,1962,11 days,Multi-Family (2-4 Unit),Mid-Century,San Francisco,11.0
2823 - 2825 Golden Gate Ave,CA,San-Francisco,94118,2100000.0,7.0,4.5,2750.0,8,Yes,1911,8 hours,Multi-Family (2-4 Unit),Contemporary,San Francisco,0.3333333333333333
433 Collingwood St Unit B,CA,San-Francisco,94114,2199000.0,2.0,2.0,1769.0,9,Yes,2003,11 days,Condo,Contemporary,San Francisco,11.0
329 Waller St #2,CA,San-Francisco,94117,1100000.0,2.0,2.5,1074.0,5,No,1900,5 days,Condo,Contemporary,San Francisco,5.0
1919 21st Ave,CA,San-Francisco,94116,1100000.0,2.0,1.0,1125.0,8,No,1938,3 days,Single Family Residential,Contemporary,San Francisco,3.0
1849 Lyon St,CA,San-Francisco,94118,2750000.0,4.0,3.0,1973.0,8,Yes,1900,4 days,Condo,Edwardian,San Francisco,4.0
301 Mission St Unit 4C,CA,San-Francisco,94105,699000.0,1.0,1.0,833.0,5,No,2009,21 days,Condo,Contemporary,San Francisco,21.0
1177 California St #1533,CA,San-Francisco,94108,699000.0,1.0,1.0,756.0,6,Yes,1978,28 days,Condo,Traditional,San Francisco,28.0
36 Farallones St,CA,San-Francisco,94112,699000.0,2.0,1.0,875.0,4,Yes,1925,34 hours,Single Family Residential,Contemporary,San Francisco,1.4166666666666667
807 Columbus Ave #202,CA,San-Francisco,94133,1350000.0,2.0,2.0,1156.0,9,Yes,2003,4 days,Condo,Contemporary,San Francisco,4.0
4998 Mission St,CA,San-Francisco,94112,900000.0,3.0,1.0,1375.0,7,No,1923,11 days,Single Family Residential,Contemporary,Outer Mission,11.0
54 Germania St,CA,San-Francisco,94117,949000.0,2.0,1.0,952.0,5,No,1908,5 days,Condo,Contemporary,SAN FRANCISCO,5.0
1945 Fulton St,CA,San-Francisco,94117,999000.0,3.0,1.0,2530.0,8,Yes,1923,4 days,Condo (Tenancy in Common),Edwardian,San Francisco,4.0
68 Mccoppin St #5,CA,San-Francisco,94103,860000.0,1.0,1.0,748.0,2,Yes,1996,3 days,Condo,Contemporary,San Francisco,3.0
210 Lake St,CA,San-Francisco,94118,1488000.0,4.0,2.0,2475.0,8,No,1900,4 days,Single Family Residential,Edwardian,San Francisco,4.0
2694 Bush St,CA,San-Francisco,94115,1399000.0,3.0,1.0,1471.0,8,Yes,1900,12 days,Condo,Edwardian,LOWER PAC HTS,12.0
710 El Camino Del Mar St,CA,San-Francisco,94121,12900000.0,6.0,5.0,6854.0,8,Yes,1928,28 days,Single Family Residential,Spanish,San Francisco,28.0
1000 North Pt #207,CA,San-Francisco,94109,549000.0,1.0,1.0,592.0,9,Yes,1965,7 days,Condo,Contemporary,MARINA,7.0
554 18th Ave,CA,San-Francisco,94121,1780000.0,3.0,1.0,2015.0,7,Yes,1915,17 hours,Single Family Residential,Contemporary,San Francisco,0.7083333333333334
4171 26th St,CA,San-Francisco,94131,1325000.0,2.0,1.0,1101.0,9,Yes,1925,5 days,Condo,Contemporary,San Francisco,5.0
601 Van Ness Ave #712,CA,San-Francisco,94102,539000.0,1.0,1.0,708.0,7,No,1982,12 days,Condo,Contemporary,San Francisco,12.0
3002 26th St,CA,San-Francisco,94110,999000.0,3.0,2.0,1250.0,4,No,1930,13 days,Condo (Tenancy in Common),Contemporary,SAN FRANCISCO,13.0
1461 Broadway #406,CA,San-Francisco,94109,995000.0,2.0,2.0,1075.0,9,Yes,1981,5 days,Condo,Contemporary,San Francisco,5.0
651 41st Ave,CA,San-Francisco,94121,2675000.0,5.0,4.0,2345.0,8,Yes,1923,10 days,Single Family Residential,Contemporary,San Francisco,10.0
512 - 520 Grant Ave,CA,San-Francisco,94108,5395000.0,5.0,4.0,7760.0,9,No,1908,11 days,Multi-Family (5+ Unit),Contemporary,San Francisco,11.0
25 Sierra St Unit E102,CA,San-Francisco,94107,1295000.0,3.0,2.0,1680.0,7,Yes,2007,11 days,Condo,Contemporary,San Francisco,11.0
3542 24th St,CA,San-Francisco,94110,1795000.0,5.0,2.0,3208.0,4,Yes,1900,10 days,Multi-Family (2-4 Unit),Contemporary,San Francisco,10.0
1517 12th Ave,CA,San-Francisco,94122,1900000.0,5.0,3.0,2572.0,9,Yes,2010,14 days,Condo,Contemporary,San Francisco,14.0
15 - 15A Woodland Ave,CA,San-Francisco,94117,2399000.0,4.0,3.0,2369.0,8,No,1909,4 days,Multi-Family (2-4 Unit),Arts &amp; Crafts,San Francisco,4.0
579 23rd Ave,CA,San-Francisco,94121,1795000.0,2.0,2.0,1360.0,7,Yes,1924,4 days,Single Family Residential,Traditional,RICHMOND DIST,4.0
4399 25th St,CA,San-Francisco,94114,925000.0,1.0,1.0,1020.0,9,No,1908,11 days,Condo (Tenancy in Common),Contemporary,San Francisco,11.0
3530 Washington St,CA,San-Francisco,94118,11750000.0,5.0,5.0,6315.0,8,Yes,1912,1 day,Single Family Residential,Traditional,San Francisco,1.0
1960 Vallejo St #8,CA,San-Francisco,94123,5495000.0,3.0,3.0,2294.0,7,No,1925,28 days,Condo (Co-op),Traditional,San Francisco,28.0
260 King St #365,CA,San-Francisco,94107,950000.0,2.0,2.0,1187.0,5,Yes,2004,29 days,Condo,Contemporary,San Francisco,29.0
180 Avila St,CA,San-Francisco,94123,3395000.0,3.0,2.0,2750.0,7,Yes,1927,23 hours,Single Family Residential,Mediterranean,San Francisco,0.9583333333333334
852 Chenery St,CA,San-Francisco,94131,3295000.0,4.0,3.5,2940.0,9,Yes,1909,4 days,Multi-Family (2-4 Unit),Contemporary,San Francisco,4.0
366 Staples Ave,CA,San-Francisco,94112,1098000.0,3.0,2.0,2070.0,6,Yes,1921,4 days,Single Family Residential,Traditional,San Francisco,4.0
226 Bocana St,CA,San-Francisco,94110,1295000.0,2.0,2.0,1456.0,7,Yes,1929,11 days,Single Family Residential,"Art Deco, Edwardian",San Francisco,11.0
52 Leo St,CA,San-Francisco,94112,1050000.0,3.0,1.0,1534.0,7,Yes,1939,12 days,Single Family Residential,Contemporary,San Francisco,12.0
79 Arbor St,CA,San-Francisco,94131,2998000.0,4.0,3.0,2460.0,9,Yes,1951,27 hours,Single Family Residential,"Contemporary, Mid-Century",San Francisco,1.125
168 De Soto St,CA,San-Francisco,94127,2395000.0,5.0,3.0,2465.0,8,No,1923,5 days,Single Family Residential,"Arts &amp; Crafts, Traditional",San Francisco,5.0
120 Morningside Dr,CA,San-Francisco,94132,1808000.0,3.0,2.5,1880.0,6,Yes,1951,5 days,Single Family Residential,Mid-Century,San Francisco,5.0
359 Diamond St,CA,San-Francisco,94114,2195000.0,3.0,1.5,1550.0,9,No,1912,2 days,Single Family Residential,Arts &amp; Crafts,San Francisco,2.0
675 - 677 6th Ave,CA,San-Francisco,94118,2100000.0,5.0,3.0,2750.0,9,Yes,1907,28 days,Multi-Family (2-4 Unit),Edwardian,San Francisco,28.0
1731 26th Ave,CA,San-Francisco,94122,1275000.0,2.0,1.5,1265.0,9,Yes,1936,4 days,Single Family Residential,"Mediterranean, Spanish",San Francisco,4.0
2170 - 2172 Bay St,CA,San-Francisco,94123,2185000.0,4.0,2.0,2665.0,6,Yes,1925,6 days,Multi-Family (2-4 Unit),Marina,San Francisco,6.0
10 Wilder St,CA,San-Francisco,94131,975000.0,2.0,1.0,800.0,7,No,1914,11 days,Single Family Residential,Contemporary,San Francisco,11.0
2245 Fulton St,CA,San-Francisco,94117,1695000.0,3.0,1.5,2058.0,8,Yes,1911,11 days,Condo,Edwardian,San Francisco,11.0
3975 Clay St,CA,San-Francisco,94118,2695000.0,5.0,2.0,2509.0,8,No,1911,11 days,Condo,Contemporary,San Francisco,11.0
1268 Dolores St,CA,San-Francisco,94110,1499000.0,2.0,2.0,1267.0,7,Yes,2012,13 days,Condo,Contemporary,SAN FRANCISCO,13.0
403 Main St Unit 116N,CA,San-Francisco,94105,799000.0,1.0,1.0,890.0,5,Yes,1997,14 days,Condo,Art Deco,SAN FRANCISCO,14.0
65 Dunsmuir St,CA,San-Francisco,94134,1050000.0,3.0,1.0,1300.0,6,Yes,1935,12 days,Single Family Residential,Contemporary,PORTOLA,12.0
321 7th Ave,CA,San-Francisco,94118,1695000.0,4.0,3.0,1858.0,8,No,1910,24 hours,Condo,Contemporary,San Francisco,1.0
401 Harrison St Unit 18F,CA,San-Francisco,94105,1245000.0,1.0,1.0,830.0,5,No,2014,10 days,Condo,Contemporary,San Francisco,10.0
1045 Mason St #401,CA,San-Francisco,94108,2250000.0,3.0,2.5,2391.0,9,No,1993,12 days,Condo,Contemporary,San Francisco,12.0
730 Florida St #21,CA,San-Francisco,94110,1525000.0,2.0,2.5,1571.0,7,Yes,2001,12 days,Condo,Contemporary,San Francisco,12.0
1300 22nd St #215,CA,San-Francisco,94107,1225000.0,2.0,2.0,959.0,5,Yes,2016,6 days,Condo,Contemporary,San Francisco,6.0
2280 Bay St,CA,San-Francisco,94123,4500000.0,5.0,3.5,3170.0,6,No,1936,25 hours,Single Family Residential,"Contemporary, French",San Francisco,1.0416666666666667
159 Monticello St,CA,San-Francisco,94132,1325000.0,3.0,1.5,1605.0,9,Yes,1947,4 days,Single Family Residential,Contemporary,San Francisco,4.0
221 Clipper St,CA,San-Francisco,94114,2450000.0,3.0,2.0,2254.0,9,Yes,1900,5 days,Single Family Residential,Victorian,San Francisco,5.0
650 Delancey St #204,CA,San-Francisco,94107,1598000.0,2.0,2.0,1577.0,5,No,1996,8 days,Condo,Contemporary,San Francisco,8.0
1029 Dolores St,CA,San-Francisco,94110,1595000.0,3.0,1.5,1367.0,7,Yes,1875,8 days,Condo,Contemporary,San Francisco,8.0
10 Heather Ave,CA,San-Francisco,94118,1995000.0,3.0,2.0,2038.0,8,Yes,1954,8 days,Condo,Contemporary,San Francisco,8.0
